,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
307,100000,1,10,1000,TRUE,6,ignore,11.15051909,,,21,148.771651
308,100000,1,10,1000,TRUE,6,embed,1.525351522,,,31,294.9809599
309,100000,1,10,1000,TRUE,7,ohe,1.829144244,,,24,211.0379777
310,100000,1,10,1000,TRUE,7,lmm,1.217609709,1.266337872,9.977957726,139,2318.901108
311,100000,1,10,1000,TRUE,7,ignore,11.47317292,,,20,141.6958447
312,100000,1,10,1000,TRUE,7,embed,1.663238086,,,24,243.1674869
313,100000,1,10,1000,TRUE,8,ohe,1.689211971,,,14,123.7793615
314,100000,1,10,1000,TRUE,8,lmm,1.207285226,1.27872777,10.21647072,128,2127.486263
315,100000,1,10,1000,TRUE,8,ignore,11.49691342,,,31,218.0574169
316,100000,1,10,1000,TRUE,8,embed,1.648170358,,,31,297.0679984
317,100000,1,10,1000,TRUE,9,ohe,1.850090983,,,14,124.0727041
318,100000,1,10,1000,TRUE,9,lmm,1.270825323,1.256445765,9.63862896,75,1255.406932
319,100000,1,10,1000,TRUE,9,ignore,10.97120829,,,18,127.8511446
320,100000,1,10,1000,TRUE,9,embed,1.659024033,,,32,310.6902146
321,100000,1,10,10000,TRUE,0,ohe,2.41315695,,,15,261.0602739
322,100000,1,10,10000,TRUE,0,lmm,1.474646597,1.353800654,9.926319122,313,5831.030642
323,100000,1,10,10000,TRUE,0,ignore,11.42788537,,,30,212.1284521
324,100000,1,10,10000,TRUE,0,embed,2.264394195,,,21,229.3495698
325,100000,1,10,10000,TRUE,1,ohe,2.490695517,,,14,295.1994252
326,100000,1,10,10000,TRUE,1,lmm,1.476741105,1.337108254,9.841957092,354,6591.936298
327,100000,1,10,10000,TRUE,1,ignore,11.59038051,,,18,126.7334547
328,100000,1,10,10000,TRUE,1,embed,2.382951037,,,17,179.9655724
329,100000,1,10,10000,TRUE,2,ohe,2.227909808,,,17,361.9660876
