,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
159,slopes,100000,1,3,3,3,10000,0.3,0.3,3,lmm,1.264877797,1.1236446,3.0725205,3.3046997,3.7569706,0.36771506,0.0682677,39,143.3692493
160,slopes,100000,1,3,3,3,10000,0.3,0.3,4,lmm,1.29807498,1.1454223,3.0283623,2.8611045,2.6534293,0.3673656,-0.052961063,34,125.3344555
161,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,ohe,1.573802716,,,,,,,12,84.88011932
162,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,ohe,1.630084482,,,,,,,13,84.26410699
163,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,ohe,1.644515289,,,,,,,12,81.50090909
164,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,ohe,1.588539562,,,,,,,12,81.33083606
165,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,ohe,1.622795671,,,,,,,14,86.99767089
166,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,ohe,1.659240439,,,,,,,13,83.86043954
167,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,ohe,1.624234513,,,,,,,12,81.07956481
168,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,ohe,1.605493454,,,,,,,13,83.94608021
169,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,ohe,1.645664174,,,,,,,12,81.39594531
170,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,ohe,1.636099972,,,,,,,13,84.49272203
171,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,ohe,1.628815969,,,,,,,13,84.43085575
172,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,ohe,1.625450589,,,,,,,12,81.74644756
173,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,ohe,1.653265464,,,,,,,14,86.86988425
174,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,ohe,1.659422166,,,,,,,13,84.09571457
175,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,ohe,1.692695057,,,,,,,12,81.29618859
176,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,ohe,1.657688094,,,,,,,13,84.93665934
177,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,ohe,1.684794185,,,,,,,13,84.60376263
178,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,ohe,1.690342455,,,,,,,13,84.85541534
179,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,ohe,1.658040361,,,,,,,13,84.45111728
180,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,ohe,1.68418835,,,,,,,12,81.25289845
181,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,ohe,1.823686676,,,,,,,14,86.75226736
182,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,ohe,1.819473647,,,,,,,13,87.10751343
