,mode,N,sig2e,sig2b0,sig2b1,q0,spatial_embed_out_dim,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
,spatial_embedded,100000,1,1,1,100,1000,1,ohe,1.271324024,,,,33,58.12317467
,spatial_embedded,100000,1,1,1,100,1000,1,lmm,1.08369537,1.083895206,0.031787585,,51,296.952162
,spatial_embedded,100000,1,1,1,100,1000,1,ignore,1.431420056,,,,89,150.7058067
,spatial_embedded,100000,1,1,1,100,1000,1,embed,1.251789299,,,,30,80.73630357
,spatial_embedded,100000,1,1,10,100,1000,0,ohe,1.221195825,,,,35,62.33409977
,spatial_embedded,100000,1,1,10,100,1000,0,lmm,1.101977078,1.117016673,0.031546663,,44,248.9232779
,spatial_embedded,100000,1,1,10,100,1000,0,ignore,1.370155813,,,,18,31.57581878
,spatial_embedded,100000,1,1,10,100,1000,0,embed,1.251605817,,,,39,99.34282708
,spatial_embedded,100000,1,1,10,100,1000,1,ohe,1.22010349,,,,37,64.14422131
,spatial_embedded,100000,1,1,10,100,1000,1,lmm,1.156886108,1.17874372,0.060460649,,21,124.1607976
,spatial_embedded,100000,1,1,10,100,1000,1,ignore,1.303769461,,,,28,47.52778721
,spatial_embedded,100000,1,1,10,100,1000,1,embed,1.247783641,,,,23,60.74710536
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,ohe,1.251478355,,,,14,29.18410468
,spatial_embedded,100000,1,0.1,0.1,1000,1000,0,lmm,1.24633067,1.270773053,0.708511233,,24,140.3328946
