epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
49,2,50.27318954,1.3596785,2.0291243,3.4103804,3.5491133,4.575673,-0.020361185,0.08676648,0.16330072,0.14140892,0.020575523,0.26418445,1.3107662,51.26174927
50,2,50.21921158,1.396613,2.013853,3.4065547,3.4950645,4.5307937,-0.2630273,-0.062414885,-0.023652405,-0.16793442,-0.09616214,0.26395553,-0.7846704,50.8664856
51,2,50.18927002,1.3334514,1.9841728,3.3030744,3.441739,4.492627,0.015215039,0.03366244,0.039498866,0.074392796,0.049494967,0.29405951,1.1524587,51.05933762
52,2,50.14873123,1.325761,1.9321115,3.2827237,3.3842,4.379781,-0.07800245,-0.04693508,0.17199063,0.08065748,0.01295352,0.28450912,1.2258737,50.79657745
53,2,50.14984512,1.317089,1.9224945,3.2629297,3.3724642,4.3708053,-0.1516962,0.03391266,0.18961525,0.12021637,-0.11059582,0.28150144,0.83354205,50.87495422
54,2,50.12796783,1.2558433,1.8879647,3.19665,3.3089156,4.32843,-0.18644619,0.028563023,0.03702289,0.008007288,-0.011547923,0.31052166,0.252415,50.99417496
55,2,50.05023193,1.2756361,1.8661946,3.1667755,3.3091807,4.2933707,-0.17903662,0.13119125,0.055438757,0.12272763,0.033256054,0.29821476,1.5529046,50.69400406
56,2,50.05509567,1.2445542,1.8420818,3.113898,3.2518167,4.185718,-0.2696495,0.07953644,-0.056837976,0.09905839,0.11033118,0.3025334,0.9486131,51.05215454
57,2,50.05340576,1.258106,1.8451403,3.1084285,3.2247689,4.1440096,-0.31223345,0.08084488,-0.11187172,-0.12112141,-0.15855265,0.34179145,-0.657948,50.70079041
58,2,49.99519348,1.2350163,1.8068527,3.0259726,3.1939824,4.0965753,0.018292427,0.2452718,0.015610069,0.07031262,0.060202055,0.32793608,1.3011191,50.75799942
59,2,49.96689224,1.2088604,1.8036443,3.0403657,3.1550314,4.0691333,-0.25260353,-0.025310636,-0.12878633,-0.085603,-0.25064987,0.32276872,-0.90176874,50.71953964
60,2,49.96229553,1.1773102,1.7649105,2.9640012,3.0955331,4.022315,-0.60608435,0.03401518,0.029330254,-0.094150305,-0.19520521,0.24439752,-0.8850947,50.68186951
61,2,49.98983383,1.156912,1.7360407,2.8945467,3.0096335,3.953566,-0.06851959,-0.030536652,0.13197982,0.13472068,0.08711338,0.29035816,0.8710135,50.71304321
