location,n
4233,12
401,12
1645,12
11568,12
8717,12
3008,12
737,12
11556,12
6059,12
3184,12
2978,12
10029,12
6675,12
3605,12
5831,12
3502,12
6343,12
11251,12
8256,12
5157,12
8509,12
1732,12
11647,12
11070,12
1923,12
6417,12
10544,12
2262,12
730,12
1771,12
2605,12
4722,12
6512,12
700,12
7786,12
11572,12
6718,12
6341,12
6711,12
8384,12
841,12
5879,12
11216,12
227,12
6714,12
5598,12
3708,12
3495,12
751,12
5848,12
2148,12
8055,12
2361,12
2327,12
4658,12
4898,12
6710,12
6932,12
2901,12
11486,12
2420,12
11068,12
4412,12
4966,12
4355,12
8020,12
1629,12
4245,12
5320,12
2976,12
2670,12
11194,12
11775,12
9378,12
11175,12
7489,12
11946,12
4863,12
5131,12
5297,12
10891,12
11910,12
6594,12
3413,12
2252,12
2223,12
12026,12
10311,12
7046,12
4848,12
8382,12
11275,12
2401,12
9775,12
11562,12
5391,12
4590,12
3249,12
9610,12
7031,12
4732,12
5665,12
3238,12
3132,12
9712,12
9115,12
3377,12
9281,12
1005,12
10892,12
2075,12
1037,12
5233,12
5043,12
4858,12
4421,12
34,12
8288,12
1995,12
7597,12
9882,12
5117,12
5571,12
6762,12
10180,12
793,11
2643,11
6633,11
234,11
11523,11
6240,11
5660,11
1002,11
10569,11
354,11
28,11
2349,11
1144,11
11503,11
4992,11
6218,11
8412,11
7750,11
289,11
696,11
6542,11
11786,11
5390,11
1163,11
1952,11
3093,11
7690,11
9437,11
5636,11
8189,11
6522,11
5829,11
2076,11
376,11
10061,11
11223,11
4826,11
8859,11
1727,11
5399,11
10116,11
8280,11
1651,11
12122,11
11649,11
10819,11
11885,11
4066,11
1836,11
1866,11
6919,11
5979,11
11873,11
5664,11
11936,11
11192,11
7131,11
3936,11
9003,11
7969,11
9236,11
1575,11
5395,11
1759,11
9180,11
6586,11
5295,11
3436,11
2398,11
384,11
7431,11
8222,11
6569,11
9390,11
11003,11
12177,11
5075,11
11104,11
3482,11
5552,11
10133,11
7856,11
4923,11
4360,11
3801,11
11128,11
1630,11
9076,11
907,11
4443,11
5981,11
8101,11
2151,11
9662,11
729,11
2108,11
6576,11
12031,11
10378,11
12034,11
5798,11
5037,11
7579,11
995,11
10459,11
5676,11
4933,11
8202,11
11317,11
2288,11
8673,11
6584,11
9172,11
11290,11
10196,11
10039,11
7200,11
7752,11
4617,11
4432,11
2095,11
2085,11
10349,11
11211,11
5852,11
3869,11
1344,11
3452,11
11160,11
12093,11
8307,11
10784,11
1011,11
6096,11
11585,10
11258,10
6670,10
4659,10
5634,10
1682,10
4762,10
10375,10
1879,10
10065,10
10359,10
1451,10
11098,10
12002,10
5271,10
11306,10
9863,10
4287,10
423,10
11853,10
3220,10
5689,10
11996,10
3383,10
4219,10
4788,10
11418,10
2123,10
11789,10
4452,10
11576,10
2150,10
11557,10
5712,10
9697,10
9511,10
6648,10
8371,10
6552,10
6491,10
10618,10
9101,10
4739,10
1355,10
1683,10
189,10
5273,10
5520,10
9147,10
5535,10
2281,10
10742,10
3810,10
10053,10
7989,10
3775,10
6989,10
4647,10
1496,10
9700,10
1452,10
10793,10
5138,10
1218,10
5969,10
1044,10
480,10
6097,10
6333,10
2466,10
12067,10
2280,10
11739,10
9590,10
8039,10
966,10
3110,10
9469,10
11190,10
8313,10
9591,10
5740,10
2297,10
1265,10
4920,10
2111,10
3621,10
9540,10
5583,10
4440,10
5319,10
1337,10
4255,10
1053,10
5826,10
962,10
11899,10
7192,10
2572,10
7794,10
8241,10
1155,10
3809,10
9678,10
10817,10
4303,10
3711,10
1861,10
7332,10
11283,10
3601,10
12033,10
1258,10
4053,10
5259,10
10114,10
4498,10
11241,10
4799,10
3433,10
9229,10
10351,10
2958,10
5354,10
7659,10
3717,10
3435,10
1338,10
5235,10
4730,10
8526,10
2443,10
9294,10
11854,10
10408,10
64,10
671,10
11833,10
10041,10
1274,9
8132,9
12086,9
7782,9
8513,9
9387,9
9626,9
6122,9
11995,9
5432,9
1253,9
2480,9
10554,9
7504,9
5762,9
8515,9
8816,9
1277,9
8748,9
8698,9
7828,9
1019,9
8689,9
6787,9
856,9
1859,9
5248,9
4139,9
8253,9
5498,9
8119,9
7543,9
8681,9
5040,9
6612,9
8536,9
2160,9
8615,9
7446,9
11672,9
7340,9
11610,9
5909,9
12111,9
9964,9
11267,9
4612,9
7153,9
11218,9
4548,9
4637,9
5301,9
10112,9
462,9
5024,9
4099,9
3038,9
9283,9
909,9
2802,9
5213,9
2604,9
9332,9
10796,9
6073,9
436,9
12199,9
742,9
1766,9
5618,9
402,9
1133,9
1806,9
10464,9
3792,9
9243,9
2824,9
8669,9
4963,9
2229,9
5942,9
6898,9
3345,9
6702,9
3460,9
11880,9
4806,9
11319,9
4773,9
4038,9
9982,9
4302,9
6809,9
10151,9
1389,9
4678,9
9501,9
7738,9
4794,9
9968,9
9972,9
5811,9
9584,9
10520,9
11733,9
1964,9
4979,9
7374,9
9997,9
3880,9
4867,9
3703,9
2106,9
707,9
9901,9
663,9
9721,9
9757,9
4864,9
1270,9
6526,9
8966,9
11336,9
7250,9
1965,9
1738,9
5881,9
9270,9
4279,9
6620,9
9555,9
10043,9
10485,9
3826,9
5713,9
3736,9
8372,9
10815,9
9456,9
10598,9
174,9
4468,9
2440,9
2139,9
2342,9
2908,9
10424,9
6826,9
9902,9
5145,9
7160,9
1753,9
2671,9
1382,9
11762,9
5637,9
11120,9
5389,9
2506,9
10460,8
1555,8
10593,8
7351,8
11372,8
9603,8
10637,8
9369,8
10611,8
11235,8
8190,8
9782,8
215,8
11687,8
7028,8
10438,8
764,8
1305,8
9916,8
8773,8
10319,8
7279,8
36,8
1943,8
5178,8
1922,8
9329,8
4297,8
3637,8
5085,8
11516,8
9561,8
9869,8
1735,8
10372,8
4033,8
4326,8
9023,8
5277,8
7975,8
11512,8
5623,8
2505,8
5555,8
11582,8
11385,8
5805,8
8601,8
7096,8
7211,8
586,8
10965,8
5974,8
11246,8
5755,8
7039,8
2077,8
10826,8
2172,8
10854,8
5610,8
2286,8
811,8
6899,8
2098,8
7252,8
3954,8
620,8
5904,8
6896,8
5723,8
10068,8
5996,8
8255,8
11101,8
10973,8
533,8
9570,8
5460,8
11514,8
5994,8
6271,8
11313,8
750,8
6994,8
5032,8
10213,8
5773,8
7741,8
11051,8
577,8
4487,8
3538,8
7830,8
6443,8
10345,8
7299,8
5424,8
11938,8
5226,8
5307,8
11858,8
3723,8
1778,8
11869,8
3382,8
2751,8
10402,8
5269,8
3048,8
4756,8
3211,8
3911,8
3944,8
1419,8
901,8
8544,8
7812,8
3449,8
12050,8
6600,8
9883,8
2539,8
6406,8
10515,8
6157,8
4868,8
4532,8
4186,8
10101,8
9791,8
3314,8
6656,8
6467,8
5542,8
5455,8
6582,8
8881,8
2745,8
2854,8
1658,8
6323,8
11630,8
6701,8
1548,8
2951,8
3932,8
11720,8
4163,8
3701,8
11855,8
3660,8
4862,8
3829,8
3919,8
6169,8
9497,8
7700,8
8140,8
6739,8
7133,8
5501,8
3728,8
8223,8
12222,8
7808,8
3592,8
7580,7
6442,7
1903,7
7492,7
8737,7
4556,7
7048,7
190,7
4849,7
906,7
9640,7
5123,7
3240,7
5471,7
7500,7
5590,7
7565,7
10171,7
6599,7
8342,7
7019,7
11357,7
6697,7
11894,7
6181,7
1950,7
10682,7
8626,7
6854,7
10917,7
6568,7
11118,7
233,7
9049,7
11140,7
11544,7
3160,7
6239,7
2416,7
6897,7
10071,7
8851,7
11518,7
1860,7
11332,7
9291,7
6765,7
1695,7
11327,7
9359,7
11183,7
10313,7
9454,7
1856,7
10381,7
11831,7
2497,7
6746,7
9126,7
1737,7
4752,7
11547,7
1072,7
9958,7
9765,7
4715,7
3886,7
4829,7
3394,7
568,7
9827,7
9796,7
10972,7
3275,7
10507,7
580,7
5005,7
5122,7
690,7
439,7
2993,7
3950,7
597,7
3049,7
553,7
9306,7
2930,7
1202,7
7793,7
9923,7
11026,7
371,7
2428,7
4158,7
9898,7
2582,7
4226,7
76,7
9327,7
9692,7
1311,7
5006,7
4879,7
5093,7
4857,7
9551,7
4341,7
3793,7
3649,7
11364,7
10563,7
11444,7
8177,7
5753,7
8916,7
10260,7
5508,7
1470,7
1323,7
5707,7
1064,7
10190,7
5817,7
434,7
670,7
10633,7
2224,7
5593,7
5647,7
6562,7
845,7
5788,7
5548,7
1785,7
3545,7
11052,7
11079,7
3819,7
3695,7
2660,7
1817,7
10493,7
1295,7
7423,7
2593,7
8514,7
710,7
752,7
2537,7
7137,7
9216,7
8193,7
5807,7
1508,7
4787,7
1535,7
11262,7
9974,7
4427,7
5514,7
6864,7
7103,7
5469,7
6100,7
4640,7
7207,7
2562,7
6021,7
7102,7
7258,7
5239,7
11966,7
11945,7
2419,7
11878,7
6051,7
